Region,Resource Assessment Site ID ,Site Name/Facility ,Design Head (feet) ,Design Flow (cfs) ,Installed Capacity (kW) ,Annual Production (MWh) ,Plant Factor ,"Total Construction Cost (1,000 $) ","Annual O&M Cost (1,000 $) ",Cost per Installed Capacity ($/kW) ,Benefit Cost Ratio with Green Incentives,IRR with Green Incentives,Benefit Cost Ratio without Green Incentives,IRR without Green Incentives
PN,PN-59,McKay Dam ,122,154,"1,362","4,344",0.37,"$4,274.00 ",$155.70 ,"$3,138 ",0.88,3.20%,0.83,2.70%
PN,PN-65,Ochoco Dam ,60,19,69,232,0.39,"$1,286.30 ",$49.50 ,"$18,532 ",0.16, < 0 ,0.15, < 0 
PN,PN-78,"Reservoir ""A""",60,12,45,169,0.44,"$1,262.20 ",$47.40 ,"$27,968 ",0.12, < 0 ,0.11, < 0 
PN,PN-80,Ririe Dam ,132,104,993,"3,778",0.44,"$3,636.90 ",$131.50 ,"$3,661 ",0.94,3.80%,0.89,3.30%
PN,PN-87 ,Scoggins Dam,96,138,955,"3,683",0.45,"$3,665.40 ",$130.60 ,"$3,838 ",0.92,3.60%,0.86,3.10%
PN,PN-88,Scootney Wasteway ,13,"2,800","2,276","11,238",0.57,"$8,014.40 ",$258.30 ,"$3,521 ",1.26,6.60%,1.18,5.90%
PN,PN-95,Sunnyside Dam ,6,"3,630","1,362","10,182",0.87,"$6,912.00 ",$205.40 ,"$5,075 ",1.43,7.80%,1.35,7.00%
PN,PN-97,Thief Valley Dam ,39,150,369,"1,833",0.58,"$2,601.00 ",$87.20 ,"$7,050 ",0.64,0.10%,0.6,< 0 
PN,PN-100,Unity Dam ,46,106,307,"1,329",0.5,"$9,462.00 ",$213.50 ,"$30,808 ",0.14, < 0 ,0.13, < 0 
PN,PN-101 ,Warm Springs Dam ,57,346,"1,234","3,256",0.31,"$4,326.60 ",$154.20 ,"$3,507 ",0.66,0.40%,0.62,0.10%
PN,PN-104 ,Wickiup Dam ,55,"1,157","3,950","15,650",0.46,"$15,178.60 ",$422.30 ,"$3,843 ",0.98,4.20%,0.92,3.70%
PN,PN-105 ,Wild Horse - BIA ,70,53,267,791,0.35,"$2,873.00 ",$89.70 ,"$10,764 ",0.27, < 0 ,0.26, < 0 
UC,UC-4 ,Angostura Diversion ,3,190,33,91,0.32,$564.20 ,$33.40 ,"$17,183 ",0.12, < 0 ,0.11,< 0 
UC,UC-5 ,Arthur V. Watkins Dam ,25,20,31,122,0.46,$966.10 ,$40.90 ,"$31,426 ",0.11,< 0 ,0.1,< 0 
UC,UC-6,Avalon Dam ,17,216,230,"1,031",0.52,"$2,260.80 ",$76.50 ,"$9,818 ",0.42,< 0 ,0.4,< 0 
UC,UC-7 ,Azeotea Creek and Willow Creek Conveyance Channel Station 1565+00,18,65,72,240,0.39,"$2,215.30 ",$66.60 ,"$30,674 ",0.1,< 0 ,0.1,< 0 
UC,UC-8 ,Azeotea Creek and Willow Creek Conveyance Channel Station 1702+75 ,17,65,68,223,0.38,"$2,193.00 ",$65.90 ,"$32,238 ",0.1,< 0 ,0.09,< 0 
UC,UC-9 ,Azeotea Creek and Willow Creek Conveyance Channel Station 1831+17 ,15,65,60,199,0.38,"$2,149.40 ",$64.70 ,"$35,760 ",0.09, < 0 ,0.08,< 0 
UC,UC-11,Azotea Tunnel ,22,65,86,222,0.3,"$2,284.40 ",$68.60 ,"$26,649 ",0.09, < 0 ,0.09,< 0 
UC,UC-13,Big Sandy Dam ,51,89,286,884,0.36,"$9,260.70 ",$211.60 ,"$32,416 ",0.1,< 0 ,0.09,< 0 
UC,UC-14 ,Blanco Diversion Dam ,22,35,47,146,0.36,"$4,656.20 ",$110.70 ,"$98,200 ",0.03, < 0 ,0.03,< 0 
UC,UC-15,Blanco Tunnel ,109,35,276,849,0.36,"$5,526.70 ",$137.50 ,"$20,041 ",0.16, < 0 ,0.15,< 0 
UC,UC-16,Brantley Dam ,15,219,210,697,0.39,"$1,991.30 ",$70.50 ,"$9,481 ",0.32,< 0 ,0.3,< 0 
UC,UC-19,Caballo Dam ,43,"1,213","3,260","15,095",0.52,"$10,197.90 ",$305.00 ,"$3,128 ",1.45,7.90%,1.36,7.10%
UC,UC-22,Crawford Dam ,135,31,303,"1,217",0.47,"$1,592.40 ",$66.70 ,"$5,264 ",0.64,< 0 ,0.6,< 0 
UC,UC-23,Currant Creek Dam ,118,17,146,"1,003",0.8,"$4,611.20 ",$114.80 ,"$31,659 ",0.22, < 0 ,0.21,< 0 
UC,UC-28 ,Dolores Tunnel ,84,17,103,515,0.58,"$2,277.10 ",$69.20 ,"$22,077 ",0.21,< 0 ,0.2,< 0 
UC,UC-36 ,East Canyon Dam ,170,76,929,"3,549",0.44,"$8,271.60 ",$216.90 ,"$8,907 ",0.44, < 0 ,0.41,< 0 
UC,UC-44 ,Fort Sumner Diversion Dam ,14,90,75,378,0.59,"$2,213.60 ",$67.10 ,"$29,472 ",0.17, < 0 ,0.16,< 0 
UC,UC-46,Fruitgrowers Dam ,28,17,29,124,0.5,"$2,116.50 ",$62.20 ,"$72,409 ",0.06, < 0 ,0.05,< 0 
UC,UC-49 ,Grand Valley Diversion Dam ,14,"2,260","1,979","14,246",0.84,"$9,070.00 ",$241.30 ,"$4,584 ",1.55,8.60%,1.45,7.70%
UC,UC-51 ,Gunnison Diversion Dam ,17,"1,350","1,435","9,220",0.75,"$6,934.90 ",$200.40 ,"$4,832 ",1.28,6.70%,1.2,6.00%
UC,UC-52,Gunnison Tunnel ,70,875,"3,830","19,057",0.58,"$11,385.50 ",$366.60 ,"$2,972 ",1.55,8.80%,1.45,7.90%
UC,UC-56 ,Hammond Diversion Dam ,8,71,35,148,0.49,"$1,983.30 ",$60.20 ,"$57,350 ",0.07, < 0 ,0.07,< 0 
UC,UC-57,Heron Dam ,249,150,"2,701","8,874",0.38,"$8,020.40 ",$246.60 ,"$2,970 ",1.06,4.90%,1,4.40%
UC,UC-59 ,Huntington North Dam ,55,6,20,51,0.3,$514.40 ,$31.70 ,"$25,611 ",0.07,< 0 ,0.07,< 0 
UC,UC-62 ,Hyrum Dam ,75,90,491,"2,052",0.49,"$5,081.30 ",$140.90 ,"$10,346 ",0.4,< 0 ,0.37,< 0 
UC,UC-67,Inlet Canal ,159,22,252,966,0.45,"$2,596.60 ",$82.70 ,"$10,320 ",0.34, < 0 ,0.32,< 0 
UC,UC-72 ,Joes Valley Dam ,159,141,"1,624","6,596",0.47,"$7,764.30 ",$210.50 ,"$4,780 ",0.85,3.00%,0.8,2.60%
UC,UC-84 ,Lost Creek Dam ,164,34,410,"1,295",0.37,"$6,599.20 ",$164.20 ,"$16,082 ",0.2,< 0 ,0.19,< 0 
UC,UC-89 ,M&D Canal-Shavano Falls ,165,240,"2,862","15,419",0.62,"$7,260.40 ",$256.60 ,"$2,536 ",1.88,11.40%,1.77,10.10%
UC,UC-93,Meeks Cabin Dam ,130,169,"1,586","4,709",0.35,"$11,641.20 ",$302.30 ,"$7,341 ",0.4,< 0 ,0.38,< 0 
UC,UC-98 ,Montrose and Delta Canal ,3,511,96,478,0.58,"$2,343.80 ",$70.80 ,"$24,452 ",0.19, < 0 ,0.18,< 0 
UC,UC-100 ,Moon Lake Dam ,66,134,634,"1,563",0.29,"$7,328.50 ",$185.80 ,"$11,564 ",0.22,< 0 ,0.2,< 0 
UC,UC-102 ,Nambe Falls Dam ,120,17,147,593,0.47,"$2,373.70 ",$73.70 ,"$16,097 ",0.24, < 0 ,0.23,< 0 
UC,UC-116,Outlet Canal ,252,32,586,"1,839",0.37,"$3,264.80 ",$108.60 ,"$5,570 ",0.52, < 0 ,0.49,< 0 
UC,UC-117,Paonia Dam ,149,147,"1,582","5,821",0.43,"$7,092.50 ",$203.70 ,"$4,482 ",0.79,2.30%,0.74,1.90%
UC,UC-124,Platoro Dam ,131,89,845,"3,747",0.52,"$10,106.20 ",$246.50 ,"$11,964 ",0.38, < 0 ,0.36,< 0 
UC,UC-126 ,Red Fleet Dam ,115,55,455,"1,904",0.49,"$3,031.90 ",$100.10 ,"$6,666 ",0.59, < 0 ,0.55,< 0 
UC,UC-131,Ridgway Dam ,181,257,"3,366","14,040",0.49,"$9,885.10 ",$296.20 ,"$2,937 ",1.35,7.30%,1.27,6.50%
UC,UC-132 ,Rifle Gap Dam ,101,46,341,"1,740",0.59,"$1,574.90 ",$65.50 ,"$4,621 ",0.92,3.50%,0.86,2.90%
UC,UC-135 ,San Acacia Diversion Dam ,8,44,20,86,0.5,"$1,895.00 ",$57.20 ,"$94,272 ",0.04, < 0 ,0.04,< 0 
UC,UC-136,Scofield Dam ,39,110,266,906,0.4,"$1,780.50 ",$69.30 ,"$6,700 ",0.45, < 0 ,0.42,< 0 
UC,UC-137,Selig Canal ,2,186,23,98,0.5,"$1,868.60 ",$57.10 ,"$82,287 ",0.05, < 0 ,0.05,< 0 
UC,UC-140 ,Silver Jack Dam ,103,101,748,"2,913",0.46,"$4,863.90 ",$145.60 ,"$6,504 ",0.57, < 0 ,0.54,< 0 
UC,UC-141 ,Sixth Water Flow Control ,"1,149",309,"25,800","114,420",0.52,"$38,227.90 ","$1,031.90 ","$1,482 ",3.02,17.10%,2.84,15.30%
UC,UC-144 ,Soldier Creek Dam ,233,26,444,"2,909",0.76,"$1,790.20 ",$72.60 ,"$4,033 ",1.39,7.90%,1.31,7.00%
UC,UC-145 ,South Canal Tunnels ,18,785,884,"4,497",0.59,"$5,005.80 ",$154.90 ,"$5,665 ",0.84,2.80%,0.79,2.40%
UC,UC-146 ,"South Canal, Sta 19+ 10 Site ""#1""",51,773,"2,465","12,576",0.59,"$8,883.40 ",$280.50 ,"$3,603 ",1.32,7.10%,1.24,6.30%
